İlanNo,SonGuncellemeTarihi,ilce_pamukkale,ilce_merkezefendi,konut_tipi,toplam_oda,brutm2,netm2,bul_kat,bina_yas,isinma_belirtilmeyen,isinma_dogalgazsoba,isinma_yok,isinma_jeo ,isinma_katkalo,isinma_klima,isinma_kombi,isinma_merkezi,isinma_merkezipay,isinma_soba,isinma_yerden,bina_kat,kredi_bilinmiyor,kredi_uygun,kredi_uygundegil,esya_bilinmiyor,esya_var,esya_yok,toplam_banyo,yapi_ikinci,yapi_sifir,takas_bilinmiyor,takas_evet,takas_hayır,SatisFiyati,tapu_arsa,tapu_katirt,tapu_katmul,tapu_bos,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati,cephe_bos
99579-1680,6.04.2024,0,1,1,4,190,170,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,0,1,1,0,0,4750000,0,1,0,0,1,1,1,1,0
126549-593,5.03.2024,0,1,1,4,150,136,5,28,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,1,1,0,1,0,0,2825000,0,0,0,1,0,0,0,0,1
137436-263,24.04.2024,0,1,1,2,70,55,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,1,0,1,0,1,1,0,0,2500000,0,0,1,0,0,0,0,0,1
139845-1064,5.04.2024,0,1,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,2350000,0,0,0,1,0,0,0,0,1
102131-32000,15.05.2024,0,1,1,5,240,220,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,2,0,1,0,1,0,7000000,0,0,1,0,1,1,1,1,0
133566-175,1.05.2024,0,1,1,4,140,130,7,31,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,1,1,1,0,0,0,1,1500000,0,0,1,0,0,0,0,0,1
138295-368,17.02.2024,0,1,1,2,50,45,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,0,1,0,1,0,1390000,0,0,1,0,0,0,0,0,1
134094-548,1.03.2024,0,1,1,4,167,133,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,1,1,0,0,4300000,0,0,0,1,0,0,0,0,1
135993-22,10.05.2024,0,1,1,4,168,160,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,2,0,1,0,1,0,3100000,0,0,0,1,0,0,0,0,1
137837-331,16.03.2024,0,1,1,3,90,80,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,1,1,0,0,2100000,0,0,0,1,0,0,0,0,1
134506-376,17.04.2024,0,1,1,4,150,145,3,15,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,2350000,0,1,0,0,0,1,1,0,0
137102-211,15.04.2024,0,1,1,3,135,125,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,1,0,0,2500000,0,0,0,1,0,0,0,0,1
135046-2058,24.04.2024,0,1,1,3,120,110,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,3500000,0,0,0,1,0,0,0,0,1
142596-77,12.03.2024,0,1,1,3,115,95,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1940000,0,0,1,0,0,0,0,0,1
118042-357,8.04.2024,0,1,1,4,150,135,3,9,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,3000000,0,0,1,0,1,1,1,1,0
121853-1115,22.04.2024,0,1,1,3,100,90,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,0,1,1750000,0,0,0,1,0,0,0,0,1
91390-1425,16.03.2024,0,1,1,4,180,170,2,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,2,1,0,0,0,1,5200000,0,0,1,0,0,1,0,1,0
131521-277,13.04.2024,0,1,1,4,135,125,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,2100000,0,1,0,0,1,1,1,1,0
129683-515,9.05.2024,0,1,1,4,140,130,3,13,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,2400000,0,0,0,1,0,0,0,0,1
133343-366,19.02.2024,0,1,1,4,145,130,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,2600000,0,0,0,1,0,0,0,0,1
135972-121,8.05.2024,0,1,1,3,115,100,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,0,1,0,1600000,0,0,1,0,1,1,1,1,0
137436-243,6.05.2024,0,1,1,4,160,150,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,2,0,1,0,1,0,4000000,0,0,1,0,0,1,1,0,0
102131-31998,15.05.2024,0,1,1,3,120,110,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,1,0,0,1850000,0,0,1,0,0,1,0,0,0
139845-1052,2.04.2024,0,1,1,4,150,145,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,0,1,0,1,0,2550000,0,0,0,1,0,0,0,0,1
138295-367,4.05.2024,0,1,1,3,65,60,4,5,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,1,0,1285000,0,0,1,0,0,0,0,0,1
133566-162,10.04.2024,0,1,1,3,80,68,1,5,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,1,1,1,0,0,0,1,1200000,0,0,1,0,0,0,0,0,1
135993-21,10.05.2024,0,1,1,4,142,140,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,2,0,1,0,1,0,3300000,0,0,0,1,0,0,0,0,1
137837-266,8.04.2024,0,1,1,4,140,125,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,1,0,0,1,3750000,0,0,0,1,0,0,0,0,1
